"SUBJECT","Subject","LOCATION","Country","MEASURE","Measure","FREQUENCY","Frequency","TIME","Time","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"CPALTT01","Consumer prices: all items","BEL","Belgium","GP","Growth previous period","M","Monthly","2018-03","Mar-2018","PC","Percentage","0","Units",,,0.141216343438162,,
"CPALTT01","Consumer prices: all items","BEL","Belgium","GP","Growth previous period","M","Monthly","2018-04","Apr-2018","PC","Percentage","0","Units",,,0.300836702077645,,
"CPALTT01","Consumer prices: all items","BEL","Belgium","GP","Growth previous period","M","Monthly","2018-05","May-2018","PC","Percentage","0","Units",,,0.206204892679715,,
"CPALTT01","Consumer prices: all items","BEL","Belgium","GP","Growth previous period","M","Monthly","2018-06","Jun-2018","PC","Percentage","0","Units",,,0.10289028154523,,
"CPALTT01","Consumer prices: all items","BEL","Belgium","GP","Growth previous period","M","Monthly","2018-07","Jul-2018","PC","Percentage","0","Units",,,0.383105961502536,,
"CPALTT01","Consumer prices: all items","BEL","Belgium","GP","Growth previous period","M","Monthly","2018-08","Aug-2018","PC","Percentage","0","Units",,,0.13962580284836,,
"CPALTT01","Consumer prices: all items","BEL","Belgium","GP","Growth previous period","M","Monthly","2018-09","Sep-2018","PC","Percentage","0","Units",,,0,,
"CPALTT01","Consumer prices: all items","BEL","Belgium","GP","Growth previous period","M","Monthly","2018-10","Oct-2018","PC","Percentage","0","Units",,,0.678564788994241,,
"CPALTT01","Consumer prices: all items","BEL","Belgium","GP","Growth previous period","M","Monthly","2018-11","Nov-2018","PC","Percentage","0","Units",,,0.156956883020956,,
"CPALTT01","Consumer prices: all items","BEL","Belgium","GP","Growth previous period","M","Monthly","2018-12","Dec-2018","PC","Percentage","0","Units",,,-0.239675516224187,,
"CPALTT01","Consumer prices: all items","BEL","Belgium","GP","Growth previous period","M","Monthly","2019-01","Jan-2019","PC","Percentage","0","Units",,,-0.046202180742922,,
"CPALTT01","Consumer prices: all items","BEL","Belgium","GP","Growth previous period","M","Monthly","2019-02","Feb-2019","PC","Percentage","0","Units",,,0.32356475917535,,
"CPALTT01","Consumer prices: all items","BEL","Belgium","GP","Growth previous period","M","Monthly","2019-03","Mar-2019","PC","Percentage","0","Units",,,0.304091411721356,,
"CPALTT01","Consumer prices: all items","BEL","Belgium","GP","Growth previous period","M","Monthly","2019-04","Apr-2019","PC","Percentage","0","Units",,,0.0551217271474439,,
"CPALTT01","Consumer prices: all items","BEL","Belgium","GP","Growth previous period","M","Monthly","2019-05","May-2019","PC","Percentage","0","Units",,,0.0183637866128042,,
"CPALTT01","Consumer prices: all items","BEL","Belgium","GP","Growth previous period","M","Monthly","2019-06","Jun-2019","PC","Percentage","0","Units",,,-0.0550812448361472,,
"CPALTT01","Consumer prices: all items","BEL","Belgium","GP","Growth previous period","M","Monthly","2019-07","Jul-2019","PC","Percentage","0","Units",,,0.0826674014880135,,
"CPALTT01","Consumer prices: all items","BEL","Belgium","GP","Growth previous period","M","Monthly","2019-08","Aug-2019","PC","Percentage","0","Units",,,-0.018355359765056,,
