Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie
2019-07-29,1587.52,1614.96,1587.52,1614.96
2019-07-30,1614.96,1614.96,1603.24,1603.24
2019-07-31,1603.24,1610.91,1601.91,1601.91
2019-08-01,1601.91,1601.91,1601.91,1601.91
2019-08-02,1601.91,1601.91,1583.93,1583.93
2019-08-05,1583.93,1619.9,1583.93,1619.9
2019-08-06,1619.9,1619.9,1619.9,1619.9
2019-08-07,1619.9,1619.9,1618.1,1618.1
2019-08-08,1618.1,1618.1,1582.99,1582.99
2019-08-09,1582.99,1582.99,1582.99,1582.99
2019-08-12,1582.99,1582.99,1582.99,1582.99
2019-08-13,1582.99,1582.99,1573.95,1573.95
2019-08-14,1573.95,1573.95,1573.95,1573.95
2019-08-15,1573.95,1573.95,1573.95,1573.95
2019-08-16,1573.95,1582.94,1573.95,1582.94
2019-08-19,1582.94,1594.66,1582.94,1594.66
2019-08-20,1594.66,1594.66,1570.68,1579.67
2019-08-21,1579.67,1579.67,1567.68,1567.68
2019-08-22,1567.68,1567.68,1555.69,1555.69
2019-08-23,1555.69,1555.69,1555.69,1555.69
2019-08-27,1555.69,1565.09,1553.1,1553.1
2019-08-28,1553.1,1558.49,1517.13,1517.13
2019-08-29,1517.13,1517.13,1517.13,1517.13
2019-08-30,1517.13,1546.16,1517.13,1537.71
2019-09-02,1537.71,1537.71,1537.71,1537.71
2019-09-03,1537.71,1537.71,1537.71,1537.71
2019-09-04,1537.71,1541.61,1533.8,1533.8
2019-09-05,1533.8,1548.76,1514.87,1548.76
2019-09-06,1548.76,1549.7,1548.76,1549.7
2019-09-09,1549.7,1549.7,1545.01,1545.01
2019-09-10,1545.01,1545.01,1537.97,1537.97
2019-09-11,1537.97,1551.92,1537.97,1551.92
2019-09-12,1551.92,1556.69,1551.92,1556.69
2019-09-13,1556.69,1572.1,1556.69,1557.71
2019-09-16,1557.71,1561.74,1557.71,1561.74
2019-09-17,1561.74,1561.74,1561.74,1561.74
2019-09-18,1561.74,1570.62,1561.74,1570.62
2019-09-19,1570.62,1570.62,1570.62,1570.62
2019-09-20,1570.62,1571.44,1570.62,1571.44
2019-09-23,1571.44,1571.44,1534.71,1534.71
2019-09-24,1534.71,1539.79,1534.71,1539.79
2019-09-25,1539.79,1539.79,1539.79,1539.79
2019-09-26,1539.79,1561.74,1539.79,1561.74
2019-09-27,1561.74,1561.74,1561.74,1561.74
2019-09-30,1561.74,1561.74,1561.74,1561.74
2019-10-01,1561.74,1561.74,1534.3,1534.3
2019-10-02,1534.3,1534.3,1526.26,1526.26
2019-10-03,1526.26,1531.33,1526.26,1531.33
2019-10-04,1531.33,1531.33,1526.26,1526.26
2019-10-07,1526.26,1535.41,1520.77,1535.41
2019-10-08,1535.41,1536.23,1517.94,1533.84
2019-10-09,1533.84,1533.84,1528.87,1528.87
2019-10-10,1528.87,1528.87,1517.94,1517.94
2019-10-11,1517.94,1517.94,1516.67,1516.67
2019-10-15,1516.67,1516.67,1516.67,1516.67
2019-10-16,1516.67,1516.67,1516.67,1516.67
2019-10-17,1516.67,1520.41,1513.01,1520.41
2019-10-18,1520.41,1520.41,1520.41,1520.41
2019-10-21,1520.41,1520.41,1516.3,1516.3
2019-10-22,1516.3,1522.49,1516.3,1522.49
2019-10-23,1522.49,1522.49,1515.18,1515.18
2019-10-24,1515.18,1515.18,1513.53,1515.18
2019-10-25,1515.18,1533.47,1515.18,1533.47
2019-10-28,1533.47,1534.95,1528.61,1528.61
2019-10-29,1528.61,1528.61,1513.97,1513.97
2019-10-30,1513.97,1513.97,1509.86,1509.86
2019-10-31,1509.86,1517.17,1507.39,1517.17
2019-11-01,1517.17,1519.71,1514.64,1514.64
2019-11-04,1514.64,1516.28,1514.64,1516.28
2019-11-05,1516.28,1524.5,1491.87,1491.87
2019-11-06,1491.87,1492.28,1491.87,1492.28
2019-11-07,1492.28,1492.69,1492.28,1492.69
2019-11-08,1492.69,1495.64,1492.69,1495.64
2019-11-11,1495.64,1505.09,1495.64,1505.09
2019-11-12,1505.09,1515.24,1495.07,1495.07
2019-11-13,1495.07,1495.07,1487.46,1487.46
2019-11-14,1487.46,1487.46,1487.46,1487.46
2019-11-15,1487.46,1487.46,1487.46,1487.46
2019-11-18,1487.46,1498.44,1487.46,1498.44
2019-11-19,1498.44,1498.44,1498.44,1498.44
2019-11-20,1498.44,1524.05,1498.44,1524.05
2019-11-21,1524.05,1524.05,1516.28,1516.28
